imdb_title_id,original_title,year,Month,genre,duration,director,writer,production_company,actors,budget,usa_gross_income,worlwide_gross_income,Ratio,OscarWinner,IsSuccessful
tt0248617,Yaadein...,2001,June,"Musical, Drama, Romance",171,Subhash Ghai,"Subhash Ghai, Subhash Ghai",Mukta Arts,"Jackie Shroff, Hrithik Roshan, Kareena Kapoor, Amrish Puri, Himani Rawat, Kiran Rathod, Anang Desai, Supriya Karnik, Avni Vasa, Madan Joshi, Suman Dutta, Suhaas Khandke, Rajan Kapur, Jennifer Kotwal, Rahul Singh","$2,100,000 ","$1,000,229 ","$1,093,819 ",0.52086619,FALSE,FALSE
tt0455957,Goya's Ghosts,2006,April,"Biography, Drama, History",113,Milos Forman,"Milos Forman, Jean-Claude Carrière",The Saul Zaentz Company,"Javier Bardem, Natalie Portman, Stellan Skarsgård, Randy Quaid, José Luis Gómez, Michael Lonsdale, Blanca Portillo, Mabel Rivera, Unax Ugalde, Fernando Tielve, David Calder, Frank Baker, Ramón Langa, Manuel de Blas, Andrés Lima","$50,000,000 ","$1,000,626 ","$9,448,082 ",0.18896164,FALSE,FALSE
tt0382189,My Summer of Love,2004,June,"Drama, Romance",86,Pawel Pawlikowski,"Helen Cross, Pawel Pawlikowski",Apocalypso Pictures,"Natalie Press, Emily Blunt, Paddy Considine, Dean Andrews, Michelle Byrne, Paul Antony-Barber, Lynette Edwards, Kathryn Sumner","$2,300,000 ","$1,000,915 ","$2,766,976 ",1.203033043,FALSE,FALSE
tt7048622,L'insulte,2017,December,"Crime, Drama, Thriller",113,Ziad Doueiri,"Ziad Doueiri, Joelle Touma",Ezekiel Films,"Adel Karam, Kamel El Basha, Camille Salameh, Diamand Bou Abboud, Rita Hayek, Talal Jurdi, Christine Choueiri, Julia Kassar, Rifaat Torbey, Carlos Chahine, Walid Abboud, Georges Daoud, Elie Njeim, Sami Hamdan, Tony Mehanna","$3,000,000 ","$1,001,305 ","$3,601,603 ",1.200534333,FALSE,FALSE
tt0108000,Ruby in Paradise,1993,November,"Drama, Romance",114,Victor Nunez,"Jane Austen, Victor Nunez",Full Crew/Say Yea,"Ashley Judd, Todd Field, Bentley Mitchum, Allison Dean, Dorothy Lyman, Betsy Douds, Felicia Hernández, Divya Satia, Bobby Barnes, Sharon M. Lewis, Paul E. Mills, Brik Berkes, Abigail McKelvey, Kristina Daman, Mark Limmer","$800,000 ","$1,001,437 ","$1,001,437 ",1.25179625,FALSE,FALSE
tt1798188,Kokuriko-zaka kara,2011,November,"Animation, Drama, Family",91,Gorô Miyazaki,"Tetsurô Sayama, Hayao Miyazaki",Studio Ghibli,"Masami Nagasawa, Jun'ichi Okada, Keiko Takeshita, Yuriko Ishida, Rumi Hiiragi, Jun Fubuki, Takashi Naitô, Shunsuke Kazama, Nao Ohmori, Teruyuki Kagawa, Haruka Shiraishi, Tsubasa Kobayashi, Alex Wolff, Bridget Hoffman, Aoi Teshima","$22,000,000 ","$1,002,895 ","$61,459,425 ",2.793610227,FALSE,TRUE
tt0097814,Majo no takkyûbin,1989,April,"Animation, Adventure, Drama",103,Hayao Miyazaki,"Eiko Kadono, Hayao Miyazaki",Kiki's Delivery Service Production Committee,"Minami Takayama, Rei Sakuma, Kappei Yamaguchi, Keiko Toda, Mieko Nobusawa, Kôichi Miura, Haruko Katô, Hiroko Seki, Yuriko Fuchizaki, Kôichi Yamadera, Kikuko Inoue, Yûko Kobayashi, Mika Doi, Takaya Hashi, Chika Sakamoto","$7,400,000 ","$1,004,057 ","$10,150,365 ",1.371670946,FALSE,FALSE
tt1758610,Unconditional,2012,September,"Biography, Crime, Drama",92,Brent McCorkle,Brent McCorkle,Harbinger Media Partners,"Lynn Collins, Michael Ealy, Bruce McGill, Kwesi Boakye, Diego Klattenhoff, Cedric Pendleton, Emily Rollins, Danielle Lewis, Amanda Bailey, Michael Beasley, Lynn Becker, Jacinte Blankenship, Steven Brown, Claudia Church, Rodger D. Eldridge","$2,000,000 ","$1,005,800 ","$1,034,448 ",0.517224,FALSE,FALSE
tt5815492,1945,2017,April,Drama,91,Ferenc Török,"Gábor T. Szántó, Ferenc Török",Katapult Film,"Péter Rudolf, Bence Tasnádi, Tamás Szabó Kimmel, Dóra Sztarenki, Ági Szirtes, József Szarvas, Eszter Nagy-Kálózy, Iván Angelusz, Marcell Nagy, István Znamenák, Sándor Terhes, Miklós Székely B., György Somhegyi, Tünde Szalontay, Béla Gados","$1,800,000 ","$1,006,193 ","$1,240,663 ",0.689257222,FALSE,FALSE
tt0101829,Europa,1991,October,"Drama, Thriller",112,Lars von Trier,"Lars von Trier, Niels Vørsel",Alicéléo,"Jean-Marc Barr, Barbara Sukowa, Udo Kier, Ernst-Hugo Järegård, Erik Mørk, Jørgen Reenberg, Henning Jensen, Eddie Constantine, Max von Sydow, Benny Poulsen, Erno Müller, Dietrich Kuhlbrodt, Michael Phillip Simpson, Holger Perfort, Anne Werner Thomsen","$4,500,000 ","$1,007,001 ","$1,007,939 ",0.223986444,FALSE,FALSE
tt0150992,Hum Dil De Chuke Sanam,1999,June,"Drama, Musical, Romance",188,Sanjay Leela Bhansali,"Sanjay Leela Bhansali, Amrik Gill",Bhansali Films,"Aishwarya Rai Bachchan, Salman Khan, Ajay Devgn, Zohra Sehgal, Vikram Gokhale, Smita Jaykar, Rekha Rao, Rajeev Verma, Kenneth Desai, Ghanshyam Nayak, Vinay Pathak, Sheeba Chaddha, Meenakshi Verma, Preeti Koppikar, Divya Jagdale","$800,000 ","$1,007,446 ","$1,007,446 ",1.2593075,FALSE,FALSE
tt1340107,Hævnen,2010,December,"Drama, Romance",118,Susanne Bier,"Anders Thomas Jensen, Susanne Bier",Danmarks Radio (DR),"Mikael Persbrandt, Wil Johnson, Eddy Kimani, Emily Mulaya, Gabriel Muli, June Waweru, Mary Ndoku Mbai, Dynah Bereket, William Jøhnk Nielsen, Ulrich Thomsen, Elsebeth Steentoft, Satu Mikkelinen, Camilla Gottlieb, Simon Maagaard Holm, Emil Nicolai Helms","$5,500,000 ","$1,008,098 ","$13,004,504 ",2.364455273,FALSE,TRUE
tt0486028,Thr3e,2006,January,"Drama, Horror, Mystery",101,Robby Henson,"Alan B. McElroy, Ted Dekker",MovieRoom Productions,"Marc Blucas, Justine Waddell, Laura Jordan, Max Ryan, Bill Moseley, Sherman Augustus, Priscilla Barnes, Tom Bower, Philip Dunbar, Jeffrey Lee Hollis, Kevin Downes, Jack Ryan, Kai Schoenhals, Bruno Jasienski, Alanna Bale","$2,400,000 ","$1,008,849 ","$1,420,418 ",0.591840833,FALSE,FALSE
tt0139615,Slam,1998,January,Drama,100,Marc Levin,"Marc Levin, Richard Stratton",Off Line Entertainment Group,"Saul Williams, Sonja Sohn, Bonz Malone, Lawrence Wilson, Beau Sia, Andre Taylor, Momolu Stewart, Ron Jones, Reamer Shedrick, Allan E. Lucas, Dominic Chianese Jr., Jerome Goldman, DJ Renegade, Liza Jessie Peterson, Taylor Mali","$1,000,000 ","$1,009,819 ","$1,009,819 ",1.009819,FALSE,FALSE
tt0869994,Paris,2008,September,"Comedy, Drama, Romance",130,Cédric Klapisch,Cédric Klapisch,Ce Qui Me Meut Motion Pictures,"Fabrice Luchini, Romain Duris, Joffrey Platel, Mélanie Laurent, Karin Viard, Albert Dupontel, Zinedine Soualem, Annelise Hesme, Audrey Marnay, Xavier Robic, Farida Khelfa, Suzanne Von Aichinger, Marco Prince, François Cluzet, Juliette Binoche","$12,000,000 ","$1,010,194 ","$23,328,518 ",1.944043167,FALSE,TRUE
tt0285861,Owning Mahowny,2003,September,"Crime, Drama, Thriller",104,Richard Kwietniowski,"Gary Stephen Ross, Maurice Chauvet",Alliance Atlantis Communications,"Philip Seymour Hoffman, Minnie Driver, John Hurt, Maury Chaykin, Ian Tracey, Sonja Smits, K.C. Collins, Jason Blicker, Vince Corazza, Roger Dunn, Eric Fink, Mike 'Nug' Nahrgang, Tanya Henley, Brona Brown, Philip Craig","$10,000,000 ","$1,011,871 ","$1,271,244 ",0.1271244,FALSE,FALSE
tt0254686,La pianiste,2001,October,Drama,131,Michael Haneke,"Michael Haneke, Elfriede Jelinek",ARTE,"Isabelle Huppert, Annie Girardot, Benoît Magimel, Susanne Lothar, Udo Samel, Anna Sigalevitch, Cornelia Köndgen, Thomas Weinhappel, Georg Friedrich, Philipp Heiss, William Mang, Rudolf Melichar, Michael Schottenberg, Gabriele Schuchter, Dieter Berner","$6,100,000 ","$1,012,069 ","$6,765,335 ",1.109071311,FALSE,FALSE
tt0283509,No Man's Land,2001,September,"Comedy, Drama, War",98,Danis Tanovic,Danis Tanovic,Noé Productions,"Branko Djuric, Rene Bitorajac, Filip Sovagovic, Georges Siatidis, Serge-Henri Valcke, Sacha Kremer, Alain Eloy, Mustafa Nadarevic, Bogdan Diklic, Simon Callow, Katrin Cartlidge, Tanja Ribic, Branko Zavrsan, Djuro Utjesanovic, Mirza Tanovic","$2,400,000 ","$1,012,153 ","$4,858,869 ",2.02452875,TRUE,TRUE
tt1966566,Stalingrad,2013,October,"Action, Drama, War",131,Fedor Bondarchuk,"Vasiliy Grossman, Sergey Snezhkin",Art Pictures Studio,"Mariya Smolnikova, Yanina Studilina, Pyotr Fyodorov, Thomas Kretschmann, Sergey Bondarchuk, Dmitriy Lysenkov, Andrey Smolyakov, Aleksey Barabash, Oleg Volku, Heiner Lauterbach, Polina Raykina, Anna von Haebler, Yuriy Nazarov, Mariya Sittel, Petar Zekavica","$30,000,000 ","$1,013,945 ","$68,316,452 ",2.277215067,FALSE,TRUE
