,director
0,A.R. Murugadoss
1,Aaron Blaise
2,Aaron Horvath
3,Aaron Norris
4,Aaron Russo
5,Aaron Schneider
6,Aaron Seltzer
7,Aaron Sorkin
8,Aaron Woodley
9,Abbas Kiarostami
10,Abby Kohn
11,Abdellatif Kechiche
12,Abel Ferrara
13,Abhinav Kashyap
14,Abhishek Varman
15,Adam Marcus
16,Adam McKay
17,Adam Rifkin
18,Adam Robitel
19,Adam Shankman
20,Adam Simon
21,Adam Wingard
22,Adil El Arbi
23,Aditya Chopra
24,Aditya Dhar
25,Adrian Grunberg
26,Adrian Lyne
27,Adrian Molina
28,Adrienne Shelly
29,Agnieszka Holland
30,Aisling Walsh
31,Akira Kurosawa
32,Akiva Goldsman
33,Akiva Schaffer
34,Alain Chabat
35,Alan Cohn
36,Alan J. Pakula
37,Alan Johnson
38,Alan Metter
39,Alan Myerson
40,Alan Parker
41,Alan Poul
42,Alan Rudolph
43,Alan Shapiro
44,Alan Taylor
45,Albert Brooks
46,Albert Hughes
47,Albert Magnoli
48,Albert Pyun
49,Alec Berg
50,Alejandro Agresti
51,Alejandro Amenábar
52,Alejandro G. Iñárritu
53,Alejandro Monteverde
54,Aleksander Bach
55,Alessandro Carloni
56,Alex Cox
57,Alex Garland
58,Alex Kendrick
59,Alex Kurtzman
60,Alex Proyas
61,Alexander Payne
62,Alexander Witt
63,Alexandre Aja
64,Alexandre Avancini
65,Alexandre Rockwell
66,Alfonso Arau
67,Alfonso Cuarón
68,Alfonso Gomez-Rejon
69,Ali Abbas Zafar
70,Ali Selim
71,Alison Maclean
72,Alister Grierson
73,Allan A. Goldstein
74,Allan Arkush
75,Allan King
76,Allan Moyle
77,Allen Coulter
78,Allen Hughes
79,Allison Anders
80,Amma Asante
81,Amy Heckerling
82,Amy Holden Jones
83,Anand Tucker
84,Andrea Berloff
85,Andrew Adamson
86,Andrew Bergman
87,Andrew Davis
88,Andrew Dominik
89,Andrew Douglas
90,Andrew Erwin
91,Andrew Fleming
92,Andrew Hyatt
93,Andrew Jay Cohen
94,Andrew Morahan
95,Andrew Niccol
96,Andrew Sipes
97,Andrew Solt
98,Andrew Stanton
99,Andrew V. McLaglen
100,Andrey Konchalovskiy
101,Andrzej Bartkowiak
102,André Ducharme
103,André Øvredal
104,Andy Cadiff
105,Andy Cheng
106,Andy Fickman
107,Andy Garcia
108,Andy Muschietti
109,Andy Tennant
110,Anees Bazmee
111,Aneesh Chaganty
112,Ang Lee
113,Angela Robinson
114,Angelina Jolie
115,Angelo Pizzo
116,Angus MacLane
117,Anna Boden
118,Anna Foerster
119,Annabel Jankel
120,Anne Fletcher
121,Anne Fontaine
122,Anthony Bell
123,Anthony Drazan
124,Anthony Hemingway
125,Anthony Hickox
126,Anthony Minghella
127,Anthony Russo
128,Anthony Stacchi
129,Anthony Waller
130,Antoine Fuqua
131,Anton Corbijn
132,Antonia Bird
133,Antonio Banderas
134,Antony Hoffman
135,Anubhav Sinha
136,Anurag Basu
137,Arbaaz Khan
138,Ari Aster
139,Ari Sandel
140,Ariel Schulman
141,Ariel Vromen
142,Arlene Sanford
143,Armand Mastroianni
144,Armando Iannucci
145,Arna Selznick
146,Arne Glimcher
147,Arthur Hiller
148,Arthur Penn
149,Arthur Rankin Jr.
150,Asger Leth
151,Asghar Farhadi
152,Ash Brannon
153,Ashutosh Gowariker
154,Asif Kapadia
155,Ate de Jong
156,Atom Egoyan
157,Audrey Wells
158,Autumn de Wilde
159,Ava DuVernay
160,Babak Najafi
161,Baltasar Kormákur
162,Baran bo Odar
163,Barbet Schroeder
164,Barbra Streisand
165,Barry Cook
166,Barry Jenkins
167,Barry Levinson
168,Barry Sonnenfeld
169,Bart Freundlich
170,Baz Luhrmann
171,Beeban Kidron
172,Ben Affleck
173,Ben Falcone
174,Ben Gluck
