,production_company
0,"""DIA"" Productions GmbH & Co. KG"
1,"""Weathering With You"" Film Partners"
2,120dB Films
3,1492 Pictures
4,1818 Productions
5,1821 Pictures
6,19 Entertainment
7,1978 Films
8,1984 Private Defense Contractors
9,2.0 Entertainment
10,2.4.7. Films
11,2003 Productions
12,20th Century Fox Film Corporation
13,20th Century Studios
14,21 Laps Entertainment
15,21st Century Film Corporation
16,21st Century Films
17,25th Hour Productions
18,26 Films
19,2929 Productions
20,2DUXÂ²
21,3 Arts Entertainment
22,3 Miles Apart Productions Ltd.
23,3311 Productions
24,34th Street Films
25,360 Pictures
26,3Mark Entertainment
27,4 Kids Entertainment
28,40 Acres & A Mule Filmworks
29,415 Productions
30,42
31,5 Stick Films
32,7 Films CinÃ©ma
33,88 Productions
34,888 Productions
35,900 Films
36,98 MPH Productions
37,A Band Apart
38,A Happy Place
39,A&M Films
40,A-Mark Entertainment
41,A24
42,ABC Motion Pictures
43,AGBO
44,AI-Film
45,AITD Productions
46,AMBI Group
47,AMLF
48,AR Films
49,ARP SÃ©lection
50,ARTE
51,ASIG Productions
52,ATR Films
53,AVCO Embassy Pictures
54,Aamir Khan Productions
55,Aardman Animations
56,Aaron Russo Productions
57,Aaron Spelling Productions
58,Aascar Film P.
59,Abandon Entertainment
60,Abraham Productions
61,Abramoff Production
62,Absolute Entertainment (II)
63,Acacia Filmed Entertainment
64,Access Entertainment
65,Act III Communications
66,Ad Hominem Enterprises
67,AdScott Pictures
68,Ada Films
69,Adams Apple Film Company
70,Addis Wechsler Pictures
71,Adela Pictures
72,Adult Swim
73,Adventure Pictures
74,Affirm Films
75,After Dark Films
76,Aggregate Films
77,Akil Production Company
78,Alameda Films
79,Alcon Entertainment
80,Alcor Films
81,Aldamisa Entertainment
82,Alebrije Cine y Video
83,Alexandre Films
84,Alibaba Pictures
85,AlicÃ©lÃ©o
86,Alive Films
87,All Girl Productions
88,All Net Productions
89,Allan Zeman Productions
90,Allarts
91,Alliance
92,Alliance Atlantis Communications
