,writer
0,'A.J.' Marriot
1,'Weird Al' Yankovic
2,A.A. Milne
3,A.B. 'Banjo' Paterson
4,A.E.W. Mason
5,A.J. Quinnell
6,A.N. Balakrishnan
7,A.R. Murugadoss
8,A.S. Byatt
9,Aaron Covington
10,Aaron Guzikowski
11,Aaron Horvath
12,Aaron Kandell
13,Aaron Latham
14,Aaron Norris
15,Aaron Seltzer
16,Aaron Sorkin
17,Aaron Stewart-Ahn
18,Aaron Stockard
19,Aaron Strongoni
20,Aash Karan Atal
21,Abbas Kiarostami
22,Abbe Wool
23,Abby Johnson
24,Abby Kohn
25,Abdellatif Kechiche
26,Abdul Williams
27,Abel Ferrara
28,Abhijat Joshi
29,Abhinav Kashyap
30,Abhiruchi Chand
31,Abi Morgan
32,Achim von Borries
33,Adam Alleca
34,Adam Brooks
35,Adam Cooper
36,Adam Cozad
37,Adam De La Peña
38,Adam Ellison
39,Adam F. Goldberg
40,Adam Fields
41,Adam Friedman
42,Adam Greenman
43,Adam Herz
44,Adam Horowitz
45,Adam J. Braff
46,Adam Jay Epstein
47,Adam Larson Broder
48,Adam Leff
49,Adam Marcus
50,Adam McKay
51,Adam Mervis
52,Adam Pava
53,Adam Resnick
54,Adam Rifkin
55,Adam Sandler
56,Adam Scheinman
57,Adam Simon
58,Adam Small
59,Adam Sussman
60,Adam Sztykiel
61,Adele Lim
62,Adi Hasak
63,Aditya Chopra
64,Aditya Dhar
65,Adolf Burger
66,Adrian Butchart
67,Adrian Hodges
68,Adrienne Shelly
69,Agatha Christie
70,Ahmet Zappa
71,Aimee Lagos
72,Akira Kurosawa
73,Akira Toriyama
74,Akiva Goldsman
75,Akiva Schaffer
76,Akiyoshi Hongo
77,Akosua Busia
78,Al Gomez
79,Al Reinert
80,Al Ruddy
81,Al Williams
82,Alain Boublil
83,Alain Godard
84,Alan B. McElroy
85,Alan Ball
86,Alan Bennett
87,Alan Burnett
88,Alan Caillou
89,Alan DiFiore
90,Alan Freedland
91,Alan Glynn
92,Alan J. Pakula
93,Alan Mak
94,Alan Martin
95,Alan Moore
96,Alan Ormsby
97,Alan Parker
98,Alan R. Cohen
99,Alan Rudolph
100,Alan Schoolcraft
101,Alan Shapiro
102,Alan Sharp
103,Alan Trustman
104,Alan Zweibel
105,Alastair Siddons
106,Albert Brooks
107,Albert Hackett
108,Albert Hughes
109,Albert Magnoli
110,Albert Pyun
111,Albert Uderzo
112,Alec Berg
113,Alec Sokolow
114,Alec Sulkin
115,Alejandro Amenábar
116,Alejandro G. Iñárritu
117,Alejandro Monteverde
118,Alessandro Baricco
119,Alessandro Camon
120,Alessandro Fabbri
121,Alessandro Tanaka
122,Alex Cox
123,Alex Flinn
124,Alex Garland
125,Alex Haley
126,Alex Kendrick
127,Alex Kurtzman
128,Alex Lasker
129,Alex Litvak
130,Alex Proyas
131,Alex Rubens
132,Alex Theurer
133,Alex Tse
134,Alex von Tunzelmann
135,Alexander Payne
136,Alexandra Bracken
137,Alexandra Rose
138,Alexandra Seros
139,Alexandre Aja
140,Alexandre Dumas
141,Alexandre Rockwell
142,Alexi Kaye Campbell
143,Alexis Nolent
144,Alfonso Cuarón
145,Alfred Cheung
146,Alfred Gough
147,Alfred Uhry
148,Ali Abbas Zafar
149,Ali LeRoi
150,Ali Selim
151,Alice Arlen
152,Alice Birch
153,Alice Hoffman
154,Alice Liddle
155,Alice Munro
156,Alice Vial
157,Alice Walker
158,Aline Brosh McKenna
159,Alison Peck
160,Allan Heinberg
161,Allan Knee
162,Allan Loeb
163,Allen Covert
164,Allen Hughes
165,Allison Anders
166,Allison Burnett
167,Allison Pearson
168,Allison Schroeder
169,Allyn Warner
170,Alonzo Brown
171,Alvin Sargent
172,Amanda Brody
173,Amanda Brown
174,Amanda Silver
175,Amrik Gill
176,Amy Andelson
177,Amy Harris
178,Amy Heckerling
179,Amy Holden Jones
180,Amy Jump
181,Amy Robinson
182,Amy Schor Ferris
183,Amy Schumer
184,Amy Tan
185,Analisa LaBianco
186,Anders Thomas Jensen
187,Andre Dubus
188,Andre Dubus III
189,Andre Fabrizio
190,Andrea Berloff
191,Andrea Gyertson Nasfell
192,Andrea Seigel
193,Andres Heinz
194,Andrew Adamson
195,Andrew Anastasios
196,Andrew Bergman
197,Andrew Birkin
198,Andrew Bovell
199,Andrew Cockburn
200,Andrew Cosby
201,Andrew Davies
202,Andrew Davis
203,Andrew Deutschman
204,Andrew Dodge
205,Andrew Dominik
206,Andrew Fleming
207,Andrew Gurland
208,Andrew Hodges
209,Andrew Hyatt
210,Andrew Jay Cohen
211,Andrew Kevin Walker
212,Andrew Klavan
213,Andrew Knauer
214,Andrew Knight
215,Andrew Kurtzman
216,Andrew Lane
217,Andrew Lanham
218,Andrew Lloyd Webber
219,Andrew Logan
220,Andrew Lowery
221,Andrew Miller
222,Andrew Neiderman
223,Andrew Niccol
224,Andrew Scheinman
225,Andrew Smith
226,Andrew Solt
227,Andrew Stanton
228,Andrew Steele
229,Andrew Stern
230,Andrew W. Marlowe
231,Andrew Wight
232,André Aciman
233,André Cayatte
234,André Ducharme
235,André Nemec
236,André P. Brink
237,Andy Bienen
238,Andy Breckman
239,Andy Burg
240,Andy Hedden
241,Andy Heyward
242,Andy Muschietti
243,Andy Paterson
244,Andy Riley
245,Andy Rose
246,Andy Ruben
247,Andy Samberg
248,Andy Stock
249,Andy Tennant
250,Andy Weir
251,Andy Weiss
252,Anees Bazmee
253,Aneesh Chaganty
254,Ang Lee
255,Angela Carter
256,Angela Shelton
257,Angela Sommer-Bodenburg
258,Angela Workman
259,Angelo Pizzo
260,Angie Thomas
261,Angus MacLachlan
262,Ann Biderman
263,Ann Brashares
264,Ann M. Martin
265,Ann Peacock
266,Anna Boden
267,Anna Hamilton Phelan
268,Anna Leonowens
269,Anna Quindlen
270,Anna Thomas
271,Anna Waterhouse
272,Anne Fine
273,Anne Fontaine
274,Anne Holden
275,Anne Piper
276,Anne Rapp
277,Anne Rice
278,Anne Rosellini
279,Anne Spielberg
280,Anne Vince
281,Anne-Marie Martin
282,Annie Mumolo
283,Annie Proulx
284,Anthony Abrams
285,Anthony Bagarozzi
286,Anthony Bodden
287,Anthony Hines
288,Anthony Jaswinski
289,Anthony McCarten
290,Anthony Minghella
291,Anthony Peckham
292,Anthony Sadler
293,Anthony Shaffer
294,Anthony Swofford
295,Anthony Tambakis
296,Anthony Waller
297,Anthony Yerkovich
298,Antoinette Terry Bryant
299,Antonio Skármeta
300,Antony Johnston
301,Antwone Fisher
302,Anurag Basu
303,Anurag Kashyap
304,Anvita Dutt
305,Anya Kochoff
306,April Blair
307,April Wolfe
308,Ari Aster
309,Ari Handel
310,Ari Schlossberg
311,Arianna Huffington
312,Ariel Dorfman
313,Ariel Shaffir
314,Ariel Vromen
315,Arif Aliev
316,Arijit Biswas
317,Arleen Sorkin
318,Arlene Gibbs
319,Arlene Klasky
320,Arlene Sarner
321,Armando Iannucci
322,Armistead Maupin
323,Arnaldur Indriðason
324,Arne Olsen
325,Arne Schmidt
326,Arne Sultan
327,Arnold Schulman
328,Art D'Alessandro
329,Art Linson
330,Art Marcum
331,Art Monterastelli
332,Arthur C. Clarke
333,Arthur Conan Doyle
334,Arthur Golden
335,Arthur Miller
336,Arthur Rankin Jr.
337,Arthur Silver
338,Arturo Pérez-Reverte
339,Asghar Farhadi
340,Ash Brannon
341,Ashleigh Powell
342,Ashley Miller
343,Ashley Smith
344,Astrid Lindgren
345,Athol Fugard
346,Atom Egoyan
347,Aubrey K. Rattan
348,Audrey Niffenegger
349,Audrey Wells
350,August Wilson
351,Auguste Le Breton
352,Augusten Burroughs
353,Austin Wright
354,Ava Ostern Fries
355,Avi Kleinberger
356,Ayub Khan-Din
357,Aída Bortnik
358,B. Kline
359,B.J. Nelson
360,Babaloo Mandel
361,Bahareh Azimi
362,Barbara Alberti
363,Barbara Benedek
364,Barbara Curry
365,Barbara Marshall
366,Barbara Muschietti
367,Barbara Shulgasser
368,Barbara Turner
369,Barbra Streisand
370,Bari Wood
371,Barry Fanaro
372,Barry Gifford
373,Barry Jenkins
374,Barry L. Levy
375,Barry Levinson
376,Barry Longyear
377,Barry Michael Cooper
378,Barry Morrow
379,Barry O'Brien
380,Barry Reed
381,Barry Schneider
382,Barry Strugatz
383,Barry W. Blaustein
384,Barry Wong
385,Bart Baker
386,Bart De Pauw
387,Bart Freundlich
388,Bart Gavigan
389,Bart Millard
390,Basharat Peer
391,Bayard Johnson
392,Baz Luhrmann
393,Beau Bauman
394,Beau Thorne
395,Beau Willimon
396,Becky Albertalli
397,Becky Johnston
398,Belinda Haas
399,Ben Affleck
400,Ben Best
401,Ben Chandler
402,Ben Coccio
403,Ben East
404,Ben Falcone
405,Ben Fountain
406,Ben Hecht
407,Ben Hernandez Bray
408,Ben Ketai
409,Ben Lewin
410,Ben Livingston
411,Ben Mezrich
412,Ben Queen
413,Ben Ramsey
414,Ben Ripley
415,Ben Roberts
416,Ben Stiller
417,Ben Wheatley
418,Ben York Jones
419,Ben Younger
420,Ben Zazove
421,Ben Zook
422,Benedict Fitzgerald
423,Benh Zeitlin
424,Benjamin August
425,Benjamin Legrand
426,Benji Samit
427,Bennett Davlin
428,Bennett Yellin
429,Benny Medina
430,Benoît Graffin
431,Bernard Edelman
432,Bernard Malamud
433,Bernard Rose
434,Bernard Slade
435,Bernardo Bertolucci
436,Bernd Eichinger
437,Bernd Lichtenberg
438,Bernhard Schlink
439,Bernie Kukoff
440,Bero Beyer
441,Bert V. Royal
442,Beth Henley
443,Beth Rigazio
444,Bethany Ashton Wolf
445,Beto Gómez
446,Betsy Giffen Nowrasteh
447,Betsy Stahl
448,Bettina Gilois
449,Beverley Cross
450,Beverly D'Onofrio
451,Bibi Naceri
452,Bill Apablasa
453,Bill Baer
454,Bill Bryden
455,Bill Collage
456,Bill Condon
457,Bill Corbett
458,Bill Cosby
459,Bill Dubuque
460,Bill Ewing
461,Bill Forsyth
462,Bill Geddie
463,Bill Holderman
464,Bill Kelly
465,Bill Lancaster
466,Bill Lishman
467,Bill Marsilii
468,Bill Martin
469,Bill Naughton
470,Bill Norton
471,Bill Phillips
472,Bill Raden
473,Bill Richmond
474,Bill Rubenstein
475,Bill Steinkellner
476,Bille August
477,Billy Bob Thornton
478,Billy Crystal
479,Billy Frolick
480,Billy MacKinnon
481,Billy Ray
482,Billy Wilder
483,Bin Wang
484,Blair Butler
485,Blair Cobbs
486,Blair Richwood
487,Blake Edwards
488,Blake Masters
489,Blake Morrison
490,Blake Snyder
491,Blake T. Evans
492,Blaze Starr
493,Bo Burnham
494,Bo Goldman
495,Bo Zenga
496,Boaz Yakin
497,Bob Barlen
498,Bob Burden
499,Bob Clark
500,Bob DeRosa
501,Bob Dolman
502,Bob Ducsay
503,Bob Fisher
504,Bob Forward
505,Bob Fosse
506,Bob Gale
507,Bob Israel
508,Bob Kachler
509,Bob Kane
510,Bob Logan
511,Bob Mosher
512,Bob Nelson
513,Bob Persichetti
514,Bob Peterson
515,Bob Rafelson
516,Bob Schooley
517,Bob Tzudiker
518,Bobbie Ann Mason
519,Bobby Farrelly
520,Bobby Smith Jr.
521,Bong Joon Ho
522,Bonnie Hunt
523,Boots Riley
524,Brad Anderson
525,Brad Bird
526,Brad Gann
527,Brad Ingelsby
528,Brad Kaaya
529,Brad Mirman
530,Brad Riddell
531,Brad Silberling
532,Bradford Lewis
533,Bradley Allenstein
534,Bradley Cooper
535,Bragi F. Schut
536,Bram Stoker
537,Brandon Boyce
538,Brandon Broussard
539,Brandon Camp
540,Brenda Chapman
541,Brendan Hood
542,Brendan McCarthy
543,Brendan O'Brien
544,Brent Goldberg
545,Brent Hanley
546,Brent Maddock
547,Brent McCorkle
548,Brent Monahan
549,Brent Simons
550,Bret Easton Ellis
551,Brett Haley
552,Brett Halliday
553,Brett Leonard
554,Brian Aldiss
555,Brian Azzarello
556,Brian Baugh
557,Brian Bird
558,Brian Bloom
559,Brian Bolland
560,Brian Brightly
561,Brian Burns
562,Brian Clark
563,Brian Clemens
564,Brian Dannelly
565,Brian De Palma
566,Brian Doyle-Murray
567,Brian Duffield
568,Brian Fee
569,Brian Garfield
570,Brian Gatewood
571,Brian Grazer
572,Brian Gunn
573,Brian Hayes Currie
574,Brian Helgeland
575,Brian Hohlfeld
576,Brian Kehoe
577,Brian Klugman
578,Brian Koppelman
579,Brian Lynch
580,Brian Miller
581,Brian Nelson
582,Brian Nissen
583,Brian Patrick O'Toole
584,Brian Peterson
585,Brian Reindl
586,Brian Robbins
587,Brian Schulman
588,Brian Selznick
589,Brian Sieve
590,Brian Taggert
591,Brian Taylor
592,Brian Tucker
593,Brian Ward
594,Brian Yuzna
595,Bridget O'Connor
596,Brin Hill
597,Brit Marling
598,Britt Allcroft
599,Brock Yates
600,Brooks Arthur
601,Bruce A. Evans
602,Bruce A. Taylor
603,Bruce Cook
604,Bruce Feirstein
605,Bruce Geller
606,Bruce Graham
607,Bruce Jay Friedman
608,Bruce Joel Rubin
609,Bruce Kimmel
610,Bruce Leddy
611,Bruce Porter
612,Bruce Robinson
613,Bruce Wagner
614,Bruce Willis
615,Bryan Barber
616,Bryan Bertino
617,Bryan Goluboff
618,Bryan McCann
619,Bryan Schulz
620,Bryan Singer
621,Bryan Sipe
622,Bryan Woods
623,Bráulio Mantovani
624,Buck Henry
625,Buddy Ruskin
626,Burk Sharpless
627,Burnie Burns
628,Burr Steers
629,Buzz Bissinger
630,Byron Howard
631,Byron Willinger
632,C. Courtney Joyner
633,C. Gaby Mitchell
634,C. Jay Cox
635,C. Robert Cargill
636,C.D. Payne
637,Cal Brunker
638,Calder Willingham
639,Caleb Wilson
640,Caliope Brattlestreet
641,Callie Khouri
642,Cameron Crowe
643,Camille Thomasson
644,Candace Bushnell
645,Candace Lee
646,Captain Mauzner
647,Carey Van Dyke
648,Carey W. Hayes
649,Carl Binder
650,Carl Ellsworth
651,Carl Franklin
652,Carl Hiaasen
